,source,target,weight
2631,824,435,3.12
2632,824,3676,3.12
2633,825,2796,0.72
2634,825,2854,1.72
2635,826,1227,3.12
2636,826,1374,3.12
2637,826,1673,3.12
2638,826,1778,3.12
2639,826,2964,2.56
2640,826,3425,3.12
2641,826,3657,3.12
2642,826,3985,3.12
2643,826,4054,2.12
2644,827,488,2.96
2645,827,511,3.12
2646,827,1208,3.12
2647,827,1551,3.12
2648,827,2031,2.56
2649,827,2159,2.96
2650,827,3377,3.12
2651,827,3793,3.12
2652,827,4070,3.12
2653,828,841,2.12
2654,828,940,2.56
2655,828,1463,2.12
2656,828,2234,3.12
2657,828,2644,2.12
2658,828,3190,3.12
2659,828,3354,1.72
2660,828,3406,1.72
2661,828,3439,1.72
2662,828,3469,1.72
2663,828,3515,1.72
2664,828,3595,2.12
2665,828,3620,2.12
2666,828,3681,3.12
2667,828,3713,3.12
2668,828,3801,3.12
2669,828,3847,3.12
2670,828,3894,3.12
2671,828,3967,3.12
2672,828,4010,3.12
2673,828,4072,3.12
2674,828,4127,3.12
2675,828,4174,2.96
2676,828,4203,2.96
2677,828,4225,2.96
2678,828,4250,2.96
2679,828,4266,2.56
2680,828,4269,2.56
2681,828,4294,2.56
2682,828,4307,2.56
2683,828,4309,2.56
2684,829,207,1.16
2685,829,441,2.96
2686,829,1326,2.4
2687,829,1536,2.12
2688,829,1693,3.12
2689,829,1863,1.72
2690,829,2124,2.4
2691,829,2187,2.56
2692,829,3306,3.12
2693,829,3396,1.56
2694,829,4210,2.4
2695,830,1686,2.96
2696,830,1687,2.96
2697,831,59,2.12
2698,831,135,1.12
2699,831,311,2.12
2700,831,345,0.96
2701,831,1152,2.12
2702,831,1551,2.12
2703,831,2106,2.7472
2704,831,2939,1.72
2705,832,3925,0.32
2706,833,823,1.72
2707,833,1137,3.12
2708,833,1366,3.12
2709,833,1484,4.8672
2710,834,1821,3.12
2711,834,2557,3.9936
2712,835,1517,2.56
2713,835,2772,1.96
2714,838,1091,1.8
2715,838,2129,0.72
2716,838,2165,1.96
2717,841,3518,2.12
2718,842,1155,3.12
2719,842,1654,2.12
2720,843,147,3.12
2721,843,2686,3.12
2722,844,206,2.56
2723,844,1821,0.32
2724,844,4293,2.56
2725,845,4272,2.4
2726,847,1604,2.12
2727,848,122,2.96
2728,848,244,3.12
2729,848,266,2.56
2730,848,368,0.32
2731,848,476,0.110205545
2732,848,945,3.12
2733,848,2803,0.32
2734,848,3214,3.12
2735,848,3339,2
2736,848,3987,3.12
2737,849,1892,3.12
2738,849,3211,1.72
2739,849,3961,3.12
2740,849,4091,1.56
2741,850,514,2.72
2742,850,2120,2.8
2743,851,395,3.12
2744,852,1400,2.56
2745,852,2573,0.96
2746,852,2808,0.56
2747,852,3303,0.56
2748,852,3330,0.56
2749,852,3351,2.56
2750,852,3371,0.56
2751,852,3446,0.56
2752,852,3470,0.56
2753,852,3496,0.56
2754,852,3522,0.56
2755,852,3562,0.56
2756,852,3581,0.56
2757,852,3622,0.56
2758,852,3632,0.56
2759,852,3658,0.56
2760,852,3705,0.56
2761,852,3731,0.56
2762,852,3767,0.56
2763,852,3791,2.96
2764,852,3815,0.56
2765,852,3816,0.025047859
2766,852,3879,0.56
2767,852,3927,0.56
2768,852,3973,0.56
2769,852,4001,0.56
2770,852,4071,0.56
2771,853,488,1.72
2772,853,2310,2.56
2773,853,3724,3.12
2774,854,223,1.56
2775,854,1805,2.56
2776,854,1998,2.96
2777,855,259,1.96
2778,855,391,3.12
2779,855,3401,1.72
2780,855,3617,1.72
2781,856,897,2.96
2782,856,1736,1.72
2783,856,1814,2.96
2784,856,2238,1.56
2785,856,2923,2.4
2786,856,3520,1.56
2787,856,3763,3.12
2788,856,4195,2.4
2789,857,1383,1.72
2790,857,1948,0.32
2791,857,3000,0.72
2792,857,3012,1.16
2793,857,3298,1.16
2794,858,487,1.72
2795,858,1348,3.12
2796,858,1866,3.12
2797,858,3322,3.12
2798,859,615,0.72
2799,860,4210,1.8
2800,861,148,1.72
2801,861,206,1.72
2802,861,2716,0.72
2803,861,2784,3.12
2804,861,3037,3.12
2805,861,3217,2.96
2806,861,3723,1.72
2807,861,4251,1.16
2808,862,91,0.72
2809,862,334,1.72
2810,864,538,0.32
2811,864,2538,3.12
2812,865,150,1.16
2813,865,368,1.72
2814,865,662,0.96
2815,866,666,3.12
2816,866,807,1.72
2817,866,1059,2.12
2818,866,2579,2.4
2819,866,3318,2.96
2820,866,3628,3.12
2821,866,3678,3.12
2822,866,4257,1.56
2823,867,534,3.12
2824,867,964,1.72
2825,867,3596,3.12
